Campaign,Ad Group,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Description 1,Description 2,Final URL
Medical Mystery Solver,Diabetes Reversal,Reverse Type 2 Diabetes - 96%,200+ Biomarkers Tested Here,End Hormone Imbalance Today,California's #1 Functional MD,Free Discovery Call - Book Now,Dr. Willis reverses diabetes with 96% success. 200+ biomarkers tested. Free consult today.,12+ years serving CA. Comprehensive testing solves medical mysteries. Virtual available.,https://advancedfunctionalmedicine.com/diabetes-reversal
Medical Mystery Solver,Hormone Issues,End Hormone Imbalance Today,200+ Biomarkers Tested Here,Reverse Type 2 Diabetes - 96%,California's #1 Functional MD,Free Discovery Call - Book Now,Dr. Willis reverses diabetes with 96% success. 200+ biomarkers tested. Free consult today.,12+ years serving CA. Comprehensive testing solves medical mysteries. Virtual available.,https://advancedfunctionalmedicine.com/hormone-therapy
Medical Mystery Solver,Thyroid Treatment,Thyroid Experts San Diego,200+ Biomarkers Tested Here,Fix Hormone Imbalance - Fast,California's #1 Functional MD,Free Discovery Call - Book Now,Dr. Willis reverses diabetes with 96% success. 200+ biomarkers tested. Free consult today.,12+ years serving CA. Comprehensive testing solves medical mysteries. Virtual available.,https://advancedfunctionalmedicine.com/thyroid-treatment
Medical Mystery Solver,Autoimmune Solutions,Autoimmune Disease Remission,200+ Biomarkers Tested Here,End Hormone Imbalance Today,California's #1 Functional MD,Free Discovery Call - Book Now,Dr. Willis reverses diabetes with 96% success. 200+ biomarkers tested. Free consult today.,12+ years serving CA. Comprehensive testing solves medical mysteries. Virtual available.,https://advancedfunctionalmedicine.com/autoimmune
Medical Mystery Solver,Chronic Fatigue,End Chronic Fatigue Now,200+ Biomarkers Tested Here,Find Root Cause of Fatigue,California's #1 Functional MD,Free Discovery Call - Book Now,Dr. Willis reverses diabetes with 96% success. 200+ biomarkers tested. Free consult today.,12+ years serving CA. Comprehensive testing solves medical mysteries. Virtual available.,https://advancedfunctionalmedicine.com/chronic-fatigue
Medical Mystery Solver,Gut Health,Heal Your Gut - Permanently,200+ Biomarkers Tested Here,Fix Digestive Issues Fast,California's #1 Functional MD,Free Discovery Call - Book Now,Dr. Willis reverses diabetes with 96% success. 200+ biomarkers tested. Free consult today.,12+ years serving CA. Comprehensive testing solves medical mysteries. Virtual available.,https://advancedfunctionalmedicine.com/gut-health
Condition Remission,Diabetes Specific,Reverse Diabetes Without Meds,Thyroid Experts San Diego,Fix Hormone Imbalance - Fast,Autoimmune Disease Remission,200+ Lab Tests Per Patient,Treat root causes not symptoms. 96% diabetes reversal. Comprehensive testing included.,Dr. Willis tests 200+ biomarkers to find answers. 12+ years. Free discovery call today.,https://advancedfunctionalmedicine.com/diabetes-reversal
Condition Remission,Hormone Specific,Fix Hormone Imbalance - Fast,Reverse Diabetes Without Meds,Thyroid Experts San Diego,Autoimmune Disease Remission,200+ Lab Tests Per Patient,Treat root causes not symptoms. 96% diabetes reversal. Comprehensive testing included.,Dr. Willis tests 200+ biomarkers to find answers. 12+ years. Free discovery call today.,https://advancedfunctionalmedicine.com/hormone-therapy
Condition Remission,Thyroid Specific,Thyroid Experts San Diego,Fix Hormone Imbalance - Fast,Reverse Diabetes Without Meds,Autoimmune Disease Remission,200+ Lab Tests Per Patient,Treat root causes not symptoms. 96% diabetes reversal. Comprehensive testing included.,Dr. Willis tests 200+ biomarkers to find answers. 12+ years. Free discovery call today.,https://advancedfunctionalmedicine.com/thyroid-treatment
Condition Remission,Autoimmune Specific,Autoimmune Disease Remission,Reverse Diabetes Without Meds,Thyroid Experts San Diego,Fix Hormone Imbalance - Fast,200+ Lab Tests Per Patient,Treat root causes not symptoms. 96% diabetes reversal. Comprehensive testing included.,Dr. Willis tests 200+ biomarkers to find answers. 12+ years. Free discovery call today.,https://advancedfunctionalmedicine.com/autoimmune
Condition Remission,Weight Loss,Can't Lose Weight? We Know Why,200+ Lab Tests Per Patient,Fix Hormone Imbalance - Fast,Thyroid Experts San Diego,Autoimmune Disease Remission,Treat root causes not symptoms. 96% diabetes reversal. Comprehensive testing included.,Dr. Willis tests 200+ biomarkers to find answers. 12+ years. Free discovery call today.,https://advancedfunctionalmedicine.com/weight-loss
Virtual Authority,Best Of Searches,CA's Largest Functional Clinic,Virtual Care Nationwide - Now,Best Functional MD San Diego,12+ Years | 1000s Helped,Book Virtual Consult Today,California's #1 functional medicine clinic. Dr. Willis serves patients in all 50 states.,12+ years excellence. 200+ biomarker testing. Virtual or in-person. Free discovery call.,https://advancedfunctionalmedicine.com
Virtual Authority,Telehealth,Virtual Care Nationwide - Now,CA's Largest Functional Clinic,Best Functional MD San Diego,12+ Years | 1000s Helped,Book Virtual Consult Today,California's #1 functional medicine clinic. Dr. Willis serves patients in all 50 states.,12+ years excellence. 200+ biomarker testing. Virtual or in-person. Free discovery call.,https://advancedfunctionalmedicine.com/telehealth
Virtual Authority,Location Specific,Best Functional MD San Diego,CA's Largest Functional Clinic,Virtual Care Nationwide - Now,12+ Years | 1000s Helped,Book Virtual Consult Today,California's #1 functional medicine clinic. Dr. Willis serves patients in all 50 states.,12+ years excellence. 200+ biomarker testing. Virtual or in-person. Free discovery call.,https://advancedfunctionalmedicine.com
Virtual Authority,Brand Terms,Dr. Matthew Willis MD,CA's Largest Functional Clinic,Virtual Care Nationwide - Now,12+ Years | 1000s Helped,Book Virtual Consult Today,California's #1 functional medicine clinic. Dr. Willis serves patients in all 50 states.,12+ years excellence. 200+ biomarker testing. Virtual or in-person. Free discovery call.,https://advancedfunctionalmedicine.com/about
Virtual Authority,Functional Medicine General,Best Functional MD San Diego,CA's Largest Functional Clinic,Virtual Care Nationwide - Now,12+ Years | 1000s Helped,Book Virtual Consult Today,California's #1 functional medicine clinic. Dr. Willis serves patients in all 50 states.,12+ years excellence. 200+ biomarker testing. Virtual or in-person. Free discovery call.,https://advancedfunctionalmedicine.com
Virtual Authority,Comprehensive Testing,200+ Biomarkers Tested Here,CA's Largest Functional Clinic,Virtual Care Nationwide - Now,12+ Years | 1000s Helped,Book Virtual Consult Today,California's #1 functional medicine clinic. Dr. Willis serves patients in all 50 states.,12+ years excellence. 200+ biomarker testing. Virtual or in-person. Free discovery call.,https://advancedfunctionalmedicine.com/testing
